newline{}

Balls			{Ядра}
Weapon_descr	{От кинжалов до десятикилограммовых топоров, от пистолетов до мушкетов - оружие является самой ценной аммуницией для экипажа корабля. Отсутствие оружия у части команды в момент абордажа ведёт к увеличению ваших потерь. При этом гибель самих матросов приводит к уменьшению запасов оружия. Таков уж наш быт, дружище!}

Medicament		{Лекарства}
Medicament_descr{Банки, склянки, порошки, бинты, примочки - необходимый набор для лечения практически любой болезни. Без них матрос может умереть даже от ссадины. Наличие на борту корабля поможет спасти раненых в боях и больных во время плавания.}

Sailcloth		{Парусина}
Sailcloth_descr	{Изготовленное из льна, произрастающего на островах архипелага, это толстое, плотное полотно пригодно для пошива чего угодно - от рубашек и камзолов до парусов. Используется для ремонта парусов.}

Planks			{Доски}
Planks_descr	{Вплоть до 18-19 века практически каждый корпус корабля состоял целиком из дерева, поэтому распиленные из сухих брёвен доски, не лежат долго без дела. Доски необходимы для ремонта корпуса.}

Chocolate		{Какао}
Chocolate_descr	{Скромная пальма какао - одна из самых значительных открытий на Карибском архепелаге. Из её плодов стали изготавливать шоколад, столь ценимый знатными дамами за оригинальный сладкий вкус. Можно получить немалую прибыль, забив трюм несколькими центнерами этого продукта.}

Coffee			{Кофе}
Coffee_descr	{Благодаря своему экзотическому вкусу, приятному аромату и бодрящему воздействию, кофе быстро приобрёл популярность. Несмотря на все трудности его изготовления, производство кофе растёт с каждым годом, отвечая на требования континентальной Европы.}

Tobacco			{Табак}
Tobacco_descr	{Перемоленные ароматные табачные листья, собранные с равнин Мэйна, в купе с вырезанной из дерева трубкой наполняют моряков невообразимым наслаждением, поэтому курение прочно закрепилось на территории Карибского архепелага. Даже не приходится объяснять, насколько ценнен табак в наше время.}

Sugar			{Сахар}
Sugar_descr		{После появления тростниковых плантаций в Новом Свете был открыт новый сорт сахара. Возможно, Карибский сахар не столь хорош, как свекольный, но он гораздо дешевле, а низкие требования к перевозке позволили ему быть самым экспортируемым товаром в Европу.}

Wheat			{Пшеница}
Wheat_descr		{На плодородных землях Нового Света пшеница приносит по три урожая в год. Мука из выращенной здесь пшеницы, пригодна для выпечки самых сдобных и воздушных булочек и пирожков. С недавних пор, торговля пшеницей оказалась для купцов довольно прибыльным делом.}

Wine			{Вино}
Wine_descr		{Попытки колонистов вырастить виноград на плодородных землях Нового света увенчались успехом. Теперь экспортируемое вино ценится на равне с Французским и Португальским. Хотя ему и не хватает тонкого, деликатного вкуса, имеющегося у европейских вин, оно обладает сильным приятным ароматом и крепостью.}

Rum				{Ром}
Rum_descr		{Крепкий, душистый и вызывающий опьянение ром не только веселит и согревает, но и поднимает боевой дух! Ром, в отличие от вина и эля, не портится, и является отличным профилактическим средством от цинги и прочих недугов. Ни один матрос долго без него не протянет, поэтому недостаток рома в дальнем плавании может привести к мятежу.}

Ale				{Эль}
Ale_descr		{Слабый алкогольный напиток, сваренный из солода и хмеля. Хоть по вкусу эль и не дотягивает до многого другого алкоголя, но из-за своей цены он поправу заслужил звание одного из самых популярных напитков на Карибском архепелаге.}

Cotton			{Хлопок}
Cotton_descr	{Хлопок - самое популярное сырьё для производства тканей. Выращивание хлопка - одна из тяжелейших работ, поэтому на его плантации постоянно требуются рабы. Точный масштаб рабства неизвестен, но с уверенностью можно говорить, что хлопок - его фундамент!}

Linen			{Полотно}
Linen_descr		{Гладкая льнаная или хлопчатобумажная ткань, каждая нить основы которой переплетается, образуя потресающие узоры. Из него обычно шьют бытовые вещи и предметы интерьера: полотенца, ковры, одеяла и т.д. Полотно отлично уходит с прилавков многих магазинов.}

Leather			{Кожа}
Leather_descr	{Натуральная кожа из выделанных шкур животных используется для изготовления самых разных изделий - ремней, обуви и т.д. Стоит также отметить, что частенько между слоёв можно встретить контрабандную крокодилью и даже человеческую кожу!}

Silk			{Шёлк}
Silk_descr		{Тонкая, лёгкая и очень дорогая ткань, секрет изготовления которой хранился в Китае на протяжении 2000 лет! Вы можете продеть её даже через тончайшие отверстия, настолько уникальна эта ткань. Однако, европейцы разгадали секрет и запустили производство в Новом Свете. Произошло это не так давно, поэтому шёлк всё ещё покупают по астрономическим ценам!}

Clothes			{Одежда}
Clothes_descr	{Грубая холщовая одежда. Неказистая, но всё же широко распространённая среди населения дальних колоний благодаря своей прочности, которая просто необходима в таком климате и спасает от свирепых насекомых.}

Ebony			{Чёрное дерево}
Ebony_descr		{Дорогое и тяжёлое чёрное дерево очень ценится за свою твёрдость, устойчивость к огню и экзотический цвет. Из него часто изготовляли мебель для богатых и знатных господ, а также вырезали скульптуры и украшения. Благодаря всему этому, торговля чёрным деревом является очень прибыльным делом, хотя найти корабль, который сможет перевозить столь тяжёлый груз достаточно тяжело.}

Mahogany		{Красное дерево}
Mahogany_descr	{Очень дорогая и прочная древесина, используемая для изготовления дорогой мебели. Красное дерево очень ценится за свою необычность и красоту. Оно не гниёт, не коробится и его трудно поджечь. Хоть и редко, но иногда его использовали и для изготовления корпусов кораблей.}

Sandal			{Сандал}
Sandal_descr	{Одна из ценных пород деревьев, вырубаемых из лесов Нового Света. Хоть она встречается чаще того же красного или чёрного дерева, однако это не помешало колонистам уничтожать целые народы, лишь ради обладания ей.}

Cinnamon		{Корица}
Cinnamon_descr	{Высушенная кора лавровых деревьев, использующаяся как пряность. Свою ценность получила из-за узкого ареала обитания. К сожалению, особо на ней не заработаешь.}

Copra			{Копра}
Copra_descr		{Раздроблённые и высушенные семена кокосовых плодов. Копра используется для приготовления кокосового масла, а жмыхи идут на корм скоту. Особой ценности не представляет, однако без неё не обходится ни одно пастбище.}

Paprika			{Паприка}
Paprika_descr	{Упакованный в сетки сладкий перец является ингредиентом множества салатов. Он придаёт блюдам пикантый вкус и приятно пахнет при поджаривании. Крепкий Карибский перец широко ценится в странах Европы.}

Fruits			{Фрукты}
Fruits_descr	{С прибытием в Новый Свет европейцы открыли великое множество растений, плоды которых пригодны в пищу или используются как лакомство - манго, лимоны, авокадо и т.д. Сразу же были направлены на прилавки в Европу, в том числе и из-за особого витаминного состава, который ранее не получали многие граждане.}

Oil				{Масло}
Oil_descr		{Масло используется для приготовления множества разных блюд, придавая им приятный вкус и аромат. Однако раскрученное в Европе тропическое масло, масло Ши, и другие сорта на деле же частенько является обычным оливковым маслом, известным ещё со времён древней Греции. Сейчас же уже и не встретишь такого рода обман, однако цена так и не вернулась к прежней.}

Brick			{Кирпичи}
Brick_descr		{Большие строительные блоки, изготовленные из глины и камней. Применяются для строительства фортов и городских зданий. Их можно считать одними из самых распространнёных грузов на Карибах, но заработать на этом деле не получится.}

Slaves			{Рабы}
Slaves_descr	{Живой товар, который пользуется большим спросом в Новом Свете. Обычно рабами становятся негры, привезённые из Африки, либо пленённые матросы вражеских судов. Рабский труд - основа рабочей силы европейских поселений Нового Света. Хотя по законам продажа рабов нелегальна, на невольничьих рынках можно отлично заработать.}

Gold			{Золото}
Gold_descr		{Неочищенная золотая руда, добываемая в шахтах Нового Света, из которой затем выплавляют золотые слитки для чеканки монет и изготовления различных изделий. Захватить корабль с таким грузом на борту - мечта любого капитана.}

Silver			{Серебро}
Silver_descr	{Неочищенная серебряная руда, добываемая в шахтах Нового Света, из которой затем выплавляют серебряные слитки для чеканки монет и изготовления различных изделий. Основная масса серебра добывается в месте, известном как "Серебряная гора", находящемся вблизи Потоси.}

Iron			{Железо}
Iron_descr		{Неочищенная железная руда добывается на специальных рудниках и в немногочисленных шахтах Нового Света. Используется для выплавки оружия и бытовых вещей. Если организовать собственное производство можно стать богачём!}

Tools			{Инструменты}
Tools_descr		{Мотыги, лопаты, кирки, и прочие инструменты, существенно улучшающие качество работы на плантациях. Откровенно говоря спрос достаточно низок, но рудники Нового Света постоянно в них нуждаются.}

Cannon_8		{Пушки 8 фунтовые}
Cannon_8_descr	{Самое малое, но самое лёгкое орудие. В такую пушку помещается лишь малые ядра, бомбы, картечь, или книппели, а с помощью горстки чёрного дымного пороха можно отправить сие добро в сторону противника. Такие пушки часто устанавливаются на большинство малых и торговых судов.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_12		{Пушки 12 фунтовые}
Cannon_12_descr	{Сравнительно небольшой калибр, обеспечивающий судам неплохие боевые характеристики. В такую пушку помещается ядро, бомба, картечь, или книппель, а с помощью чёрного дымного пороха можно доставить снаряды неприятелю. Повсеместно применяется на малых судах.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_16		{Пушки 16 фунтовые}
Cannon_16_descr	{Пушки среднего калибра, представляющая угрозу для неприятеля. Широко распространены на средних торговых судах ввиду достаточной дальности и мощи при относительно небольшом весе.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_20		{Пушки 20 фунтовые}
Cannon_20_descr	{Переходный калибр, который является золотой серединой между убойностью и сложностью ухода. Массово встречается на фрегатах, корветах и военных модификаций бригов.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_24		{Пушки 24 фунтовые}
Cannon_24_descr	{Серьёзное орудие для серьёзных боев. Один бортовый выстрел может превратить в щепки люггеры и большинство шлюпов. Высокая точность и дальность стрельбы привлекает капитанов устанавливать их на свои корабли, поэтому 24-х фунтовки являются основным калибром большинства предлинейных кораблей.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_32		{Пушки 32 фунтовые}
Cannon_32_descr	{Орудие, в которое помещается половина человека, а неожиданный выстрел может оглушить рядом проходившего матроса, создано для разрушения большинства кораблей на своём пути. Перенести даже одну пушку не по силам десятке юнг, но военные суда на своём борту имеют и под 50.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_36		{Пушки 36 фунтовые}
Cannon_36_descr	{Мощнейшее орудие, весящее под тонну. В него можно зарядить ядро с диаметром в две человеческих головы, которое насквозь пробивает корпус и летит ещё несколько метров. Применяется для потопления линейных кораблей 1-2 ранга и уничтожения фортов.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_42		{Пушки 42 фунтовые}
Cannon_42_descr	{Пробивает насквозь даже днище с медной обшивкой, а матросы по завершению плавания остаются без ушных перепонок. Комментарии излишни
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Cannon_48		{Пушки 48 фунтовые}
Cannon_48_descr	{Исщадие ада. Ни каждый кран сможет даже приподнять данный агрегат. Используется в большинстве своём как музейный экспонат или на тяжелоукреплённых фортфикациях.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_8		{Кулеврины 8 фунтовые}
Culverine_8_descr{Самое малое, но самое лёгкое орудие, обладающее длинным стволом. В такую пушку помещается лишь малые ядра, бомбы, картечь, или книппели, а с помощью горстки чёрного дымного пороха можно отправить сие добро в сторону противника. Такие пушки часто устанавливаются на большинство малых и торговых судов.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_12	{Кулеврины 12 фунтовые}
Culverine_12_descr{Сравнительно небольшой калибр, обеспечивающий судам неплохие боевые характеристики. В такую пушку помещается ядро, бомба, картечь, или книппель, а с помощью чёрного дымного пороха можно доставить снаряды неприятелю.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_16		{Кулеврины 16 фунтовые}
Culverine_16_descr	{Пушки среднего калибра, представляющие угрозу для неприятеля. Широко распространены на средних торговых судах ввиду высокой дальности и мощи при относительно небольшом весе.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_20		{Кулеврины 20 фунтовые}
Culverine_20_descr	{Переходный калибр, который является золотой серединой между ценой и качеством. Позволяют держать противника на дистанции. Массово встречается на фрегатах, корветах и военных модификаций бригов.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_24		{Кулеврины 24 фунтовые}
Culverine_24_descr	{Серьёзное орудие для серьёзных боев. Один бортовый выстрел может превратить в щепки люггеры и большинство шлюпов. Длина ствола затрудняет перезарядку, однако даёт преимущество в радиусе поражения - некоторые матросы даже не видят попадание в воду при максимальной дальности. Поэтому 24-х фунтовки являются основным калибром большинства предлинейных кораблей.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_32		{Кулеврины 32 фунтовые}
Culverine_32_descr	{Орудие, в которое помещается человек без головы, а неожиданный выстрел может оглушить рядом проходившего матроса, создано для разрушения большинства кораблей на своём пути. Перенести даже одну пушку не по силам десятке юнг. Прав тот кто выстрелил первым.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}

Culverine_36		{Кулеврины 36 фунтовые}
Culverine_36_descr	{Самая большая кулеврина, с которой можно вести эффективный огонь почти на милю. В неё можно зарядить ядро с диаметром в две человеческих головы. Кулеврина позволяет потягаться в дальности стрельбы даже с фортом, стоящим на возвышенности.
Дальность - #dFireRange#, урон - x#f.1DamageMultiply#, перезарядка - #dReloadTime# сек.}
