Antigua			{Антигуа}
PortRoyal			{Порт Рояль}
PortRoyal Town		{Порт Рояль}
PortRoyal Fort		{форт Порт Рояля}
PortRoyal Port		{порт Порт Рояля}
FortOrange			{Форт Оранж}
FortOrange Town		{Форт Оранж}
Villemstad			{Виллемстад}
Villemstad Town		{Виллемстад}
Villemstad Fort		{форт Виллемстада}
Villemstad Port		{порт Виллемстада}
BasTer				{Бас-Тер}
BasTer Town			{Бас-Тер}
BasTer Fort			{форт Бас-Тер}
BasTer Port			{порт Бас-Тер}
LaVega				{Ла Вега}
LaVega Town			{Ла Вега}
LaVega Fort			{форт Ла Веги}
LaVega Port			{порт Ла Веги}
SantoDomingo Town	{Санто-Доминго}
SantoDomingo Fort	{форт Санто-Доминго}
SantoDomingo Port	{порт Санто-Доминго}
PortPax				{Порт-о-Принс}
PortPax Town		{Порт-о-Принс}
PortPax Fort		{форт Порт-о-Принс}
PortPax Port		{порт Порт-о-Принс}
Pirates				{Пиратское поселение}
Pirates Town		{Пиратское поселение}
Pirates Port		{порт Пиратского поселения}
FortFrance			{Форт де Франс}
FortFrance Town		{Форт де Франс}
FortFrance Fort		{форт Форт де Франс}
FortFrance Port		{порт Форт де Франс}
LeFransua			{Ле Франсуа}
LeFransua Town		{Ле Франсуа}
LeFransua Port		{порт Ле Франсуа}
Havana				{Гавана}
Havana Town			{Гавана}
Havana Fort			{форт Гаваны}
Havana Port			{порт Гаваны}
Charles				{Чарлстаун}
Charles Town		{Чарлстаун}
Charles Fort		{форт Чарлстауна}
Charles Port		{порт Чарлстауна}
PortoBello Town		{Порто Белло}
PortoBello Fort		{форт Порто Белло}
PortoBello Port		{порт Порто Белло}
PortSpein			{Порт-оф-Спейн}
PortSpein Town		{Порт-оф-Спейн}
PortSpein Fort		{форт Порт-оф-Спейна}
PortSpein Port		{порт Порт-оф-Спейна}
Tortuga				{Тортуга}
Tortuga Town		{Тортуга}
Tortuga Fort		{форт Тортуги}
Tortuga Port		{порт Тортуги}
Marigo				{Мариго}
Marigo Town			{Мариго}
Marigo Fort			{форт Мариго}
Marigo Port			{порт Мариго}
Panama Town			{Панама}
Panama Fort			{форт Панамы}
Panama Port			{порт Панамы}
Cartahena Town		{Картахена}
Cartahena Fort		{форт Картахены}
Cartahena Port		{порт Картахены}
Maracaibo Town		{Маракайбо}
Maracaibo Fort		{форт Маракайбо}
Maracaibo Port		{порт Маракайбо}
Caracas Town		{Каракас}
Caracas Fort		{форт Каракаса}
Caracas Port		{порт Каракаса}
Cumana Town			{Кумана}
Cumana Fort			{форт Куманы}
Cumana Port			{порт Куманы}
SantaCatalina Town	{Санта-Каталина}
SantaCatalina Fort	{форт Санта-Каталины}
SantaCatalina Port	{порт Санта-Каталины}
Beliz Town			{Белиз}
Beliz Fort			{форт Белиза}
Beliz Port			{порт Белиза}
Caiman				{Кайман}
Caiman Town			{Кайман}
Caiman Fort			{форт Каймана}
Caiman Port			{порт Каймана}

Boarding deck		{Верхняя палуба} 
Fort inside			{Форт}
Sea					{Море}
Jungle				{Джунгли}
Street				{Улицы}
ExitTown			{Выход в джунгли}
Graveyard 			{Кладбище}
KeepersHouse 		{Дом смотрителя}
Crypt 				{Склеп}
CryptBig2 			{Крипта}
Chapel 				{Часовня}
Port				{Порт}
Tavern				{Таверна}
Store				{Магазин}
Shipyard			{Верфь}
Townhall			{Резиденция}
TownhallRoom		{Комната в резиденции}
Residence			{Резиденция}
PortOffice			{Портовое управление}
Church				{Церковь}
Incquisitio			{Инквизиция}
Incas Temple		{Храм Инков}
Labirint			{Лабиринт}
Usurer House		{дом ростовщика}
GWIK				{Представительство Голландской Вест-Индской Торговой Компании}
GWIKshort			{Представительство ГВИК}
House				{дом}
Room				{Комната}
Cabinet				{Кабинет}
Bedroom				{Спальня}
Exit				{Выход}
The cavern			{Пещера}
?????				{?????}
Passage				{Мост}
Beach				{пляж}
Cave				{Пещера}
Cave entrance		{Вход в пещеру}
Grot				{Грот}
Prison				{Тюрьма}
Lighthouse Inside	{маяк внутри}
Mines				{Шахты}
Dungeon				{Подземелье}
Gate				{Выход из города}
Brothel				{Бордель}
Brothel Room		{Комната уединения}
Village				{Деревня}
Plantation			{Плантация}
UnderWater			{Под водой}
Alcove				{Альков}

BuilderHouse				{дом Архитектора}
Canyon						{Каньон}
Mines2						{Рудники}
CaimanSmall 				{Кайман}
Caiman Mines				{Рудники}
Caiman Mines Exit			{Вход в рудники}
Caiman Plantation			{Плантация}
Cayman Mines Office			{дом управляющего рудниками}
Caiman Plantation Office	{дом управляющего плантацией}
Caiman Store House			{Склад}
packhouse					{Склад}
Arena						{Арена}
FencingTown					{Поселение Фехтовальщиков}
Land Guarding Port			{порт охранной базы}
Land Guarding Fort			{форт охранной базы}
Land Guarding Head House	{дом начальника охранной базы}
Reefs	{Северные рифы}
Grotto	{Грот}

cabine			{Каюта}
My_Campus		{Кают-компания}
My_Deck_Medium	{Пушечная палуба}
My_Deck			{Трюм}
Orlop deck		{Нижняя палуба}

Morgan's House		{дом Моргана}
Morris's House		{дом Джона Морриса}
Aaron's House		{дом Аарона Мендеса Чумакейро}
Comendant's House	{дом коменданта Гаваны}
DEstre House		{дом Анри д'Эстре}
InesHouse			{дом Инес де Лас Сьеррас}
Olone House			{дом Франсуа Олоне}
Ascold House		{дом Аскольда}
Isabella's House	{дом Изабеллы}
Rosita's House		{дом Роситы Фернандес}
Loy_House			{дом Эдварда Лоу}
Orry_House			{дом Орри Брюса}
MK_House			{дом Мастера Ключей}

LostShipsCity		{ГПК}
LostShipsCity Town	{ГПК}
LSC South			{Юг Города потерянных кораблей}
LSC North			{Север Города потерянных кораблей}
LSC Town			{Улицы ГПК}

Ava Cabin							{Галеон 'Эва'}
Caroline cabin						{Фрегат 'Каролина'}
CeresSmithy cabin					{Флейт 'Церес Смити'}
EsmeraldaStoreBig cabin				{Галеон 'Эсмеральда'}
FenixPlatform cabin					{Платформа 'Феникс'}
FernandaDiffIndoor cabin			{Флейт 'Фернандо Диффиндур'}
FleuronTavern cabin					{Каравелла 'Флерон'}
FurieShipInside2 cabin				{Пинас 'Фурия'}
GloriaChurch cabin					{Галеон 'Глория'}
PlutoStoreSmall cabin				{Флейт 'Плуто'}
ProtectorFisher cabin				{Корвет 'Протектор'}
SanAugustineResidence cabin			{Варшип 'Сан Августин'}
SanGabrielMechanic cabin			{Барк 'Сан Габриэль'}
SantaFlorentinaShipInside4 cabin	{Бриг 'Санта Флорентина'}
TartarusPrison cabin				{Бэттлшип 'Тартарус'}
VelascoShipInside1 cabin			{Галеон 'Веласко'}

Tenochtitlan		{Теночтитлан}
Xochiquetzal		{Храм Шочикецаль}
Mictlantecuhtli		{Храм Миктлантекутли}
Quetzalcoatl		{Храм Кецалькоатль}
Mixcoatl			{Храм Мишкоатль}
Tezcatlipoca		{Храм Тескатлипока}
Chalchiuhtlicue		{Храм Чалчиуитликуэ}
Huitzilopochtli		{Храм Уицилопочтли}
Tlaloc				{Храм Тлалок}
Mayahuel			{Храм Майяуэль}
Tonacatecuhtli		{Храм Тонакатекутли}
TempleGreatInside	{Храм Великой Жизненной Силы}
TempleRoundInside	{Храм Белых Богов}
TempleSecondInside	{Жертвенный храм}
TempleUnderwater	{Лабиринт}
DeckWithReefs		{Бухта проклятых}
Reefs_Chapter		{Капитул}
MountainPath		{Ущелье дьявола}
