// 100% готово
newLine{}

// Меню настроек
HelpChooser				{Выбор раздела помощи}
	Ship_SailUp		{Поднять паруса}
	Ship_SailDown	{Спустить паруса}
	
	// Бой
	
	hk_charge1	{Зарядить ядрами}
	hk_charge2	{Зарядить картечью}
	hk_charge3	{Зарядить книппеллями}
	hk_charge4	{Зарядить бомбами}
	Ship_Fire	{Произвести пушечный залп}

	// Команды

	CIC_LoadBalls					{Эскадра: "Зарядить ядра"}
	CIC_LoadGrapes					{Эскадра: "Зарядить картечь"}
	CIC_LoadChain					{Эскадра: "Зарядить книпели"}
	CIC_LoadBombs					{Эскадра: "Зарядить бомбы"}
	CIC_LoadAtWill					{Эскадра: "Зарядка по усмотрению"}
	CIC_SailAway					{Эскадра: "Уплыть"}
	CIC_LowerSails					{Эскадра: "Спустить паруса"}
	CIC_ProtFlagship				{Эскадра: "Защищать флагман"}
	
	BOAL_ActivateImmediateReload	{Навык "Предварительная перезарядка"}
	hk_ImmediateReload				{Активировать "Предварительную перезарядку"}
	BOAL_ActivateLightRepair		{Навык "Лёгкий ремонт"}
	hk_LightRepair					{Активировать "Лёгкий ремонт"}
	BOAL_ActivateInstantRepair		{Навык "Быстрый ремонт"}
	hk_InstantRepair				{Активировать "Быстрый ремонт"}
	BOAL_ActivateTurn180			{Навык "Манёвренный разворот корабля"}
	hk_Turn180						{Активировать "Манёвренный разворот корабля"}
	BOAL_ActivateSandbankManeuver	{Навык "Манёвры на мелководье"}
	hk_SandbankManeuver				{Активировать "Манёвры на мелководье"}
	
	// Другое
	
	MiniMapZoomIn		{Увеличить масштаб миникарты}
	MiniMapZoomOut		{Уменьшить масштаб миникарты}
	BI_MapEnter			{Выход на карту}

// Глобалка

	// Камера

	WMapTurnH		{Вращение камеры вокруг корабля (в режиме карты)}
	WMapTurnV		{Высота камеры (в режиме карты)}
	WMapCameraRotate{Включение режима скольжения/вращения камеры}
	WMapForward		{Приближение камеры}
	WMapBackward	{Удаление камеры}
	WMapCameraSwitch{Переключение режима обзора}

	// Движение

	WMapShipSailUp		{Плыть вперед}
	WMapShipSailDown	{Плыть назад}
	WMapShipTurnLeft	{Поворот влево}
	WMapShipTurnRight	{Поворот вправо}

	// Другое

	WMapCancel	{Выход из карты в море}

// Другое

Interface			{Вызов интерфейса игры}
InterfaceDisabler	{Отключить интерфейсы}

MainMenu			{Вызов главного меню}
MainMenuDouble		{Вызов главного меню}

BICommandsActivate	{Вызвать командное меню}
LICommandsActivate	{Вызвать командное меню}
BICommandsConfirm	{Выбрать команду}
BICommandsCancel	{Отменить команду}
BICommandsLeft		{Движение по командному меню влево}
BICommandsRight		{Движение по командному меню вправо}

Help				{Вызов справки по игре}
HelpChooser_Cancel	{Выход из справки}
HelpChooser_Action	{Показать справку по текущему элементу}
HelpChooser_Next	{Переход к следующему элементу справки}
HelpChooser_Prev	{Переход к предыдущему элементу справки}
HelpChooser_Left	{Влево (в режиме справки)}
HelpChooser_Right	{Вправо (в режиме справки)}
HelpChooser_Up		{Вверх (в режиме справки)}
HelpChooser_Down	{Вниз (в режиме справки)}

CreateNotice		{Сделать заметку в судовом журнале}
BIFastCommand		{Выполнить "быструю" команду}
Ship_GetCoordinates	{Показать координаты}
